,device_id,device_name,usage_timeframe,location_latitude,location_longitude
20,20,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665353000,33.89571,35.48783
21,21,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665354000,33.89557,35.48777
22,22,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665355000,33.89522,35.48762
23,23,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665356000,33.89504,35.48763
24,24,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665357000,33.89486,35.48765
25,25,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665358000,33.89468,35.48766
26,26,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665359000,33.89425,35.4877
27,27,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665360000,33.89389,35.48771
28,28,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665361000,33.89361,35.48772
29,29,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665362000,33.89355,35.48772
30,30,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665363000,33.89355,35.48772
31,31,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665364000,33.89345,35.48771
32,32,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665365000,33.89342,35.4877
33,33,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665366000,33.8934,35.48769
34,34,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665368000,33.89338,35.48768
35,35,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665369000,33.89336,35.48767
36,36,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665370000,33.89335,35.48766
37,37,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665371000,33.89333,35.48765
38,38,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665373000,33.89331,35.48762
39,39,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665374000,33.89322,35.48753
40,40,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665375000,33.89314,35.48741
41,41,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665376000,33.89299,35.4872
42,42,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665377000,33.89287,35.48704
43,43,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665378000,33.89285,35.487
44,44,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665380000,33.89275,35.48687
45,45,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665381000,33.89251,35.48653
46,46,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665382000,33.89242,35.48642
47,47,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665383000,33.89233,35.48626
48,48,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665384000,33.89209,35.48594
49,49,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665385000,33.89197,35.48578
50,50,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665386000,33.89191,35.4857
51,51,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665387000,33.89185,35.48562
52,52,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665388000,33.89125,35.48478
53,53,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665389000,33.89113,35.48462
54,54,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665390000,33.89107,35.48457
55,55,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665391000,33.89099,35.48451
56,56,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665392000,33.89093,35.48446
57,57,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665393000,33.89084,35.4844
58,58,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665394000,33.89074,35.48433
59,59,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665395000,33.89056,35.4842
60,60,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665396000,33.89056,35.4842
61,61,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665397000,33.8905,35.48416
62,62,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665398000,33.89036,35.48411
63,63,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665399000,33.8902,35.48403
64,64,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665400000,33.88997,35.48389
65,65,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665401000,33.88966,35.48371
66,66,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665402000,33.88961,35.48369
67,67,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665403000,33.88933,35.48352
68,68,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665404000,33.88895,35.48328
69,69,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665405000,33.88886,35.48324
70,70,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665406000,33.88879,35.48322
71,71,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665407000,33.88872,35.48321
72,72,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665408000,33.88863,35.48322
73,73,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665409000,33.88827,35.48325
74,74,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665410000,33.88812,35.48326
75,75,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665413000,33.88809,35.48326
76,76,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665414000,33.88786,35.48328
77,77,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665415000,33.88758,35.4833
78,78,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665416000,33.88753,35.4833
79,79,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665418000,33.88736,35.48333
80,80,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665419000,33.88724,35.48334
81,81,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665420000,33.88699,35.48336
82,82,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665422000,33.88671,35.48338
83,83,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665423000,33.88651,35.48341
84,84,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665424000,33.88634,35.48343
85,85,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665425000,33.88626,35.48345
86,86,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665426000,33.88608,35.48344
87,87,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665427000,33.88588,35.48343
88,88,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665429000,33.88577,35.48342
89,89,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665430000,33.88568,35.48342
90,90,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665431000,33.88557,35.48342
91,91,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665432000,33.8855,35.48341
92,92,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665433000,33.88542,35.48341
93,93,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665435000,33.88533,35.4834
94,94,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665437000,33.88531,35.48339
95,95,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665438000,33.88492,35.48335
96,96,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665440000,33.88456,35.4833
97,97,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665441000,33.88451,35.48329
98,98,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665443000,33.88444,35.48329
99,99,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665444000,33.8844,35.48329
100,100,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665445000,33.88436,35.48329
101,101,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665446000,33.88436,35.48329
102,102,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665447000,33.88433,35.48326
103,103,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665448000,33.88432,35.48325
104,104,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665449000,33.88431,35.48324
105,105,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665450000,33.8843,35.48324
106,106,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665451000,33.88429,35.48323
107,107,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665453000,33.88427,35.48323
108,108,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665454000,33.88413,35.48322
109,109,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665455000,33.88407,35.48321
110,110,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665456000,33.88387,35.48321
111,111,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665457000,33.88373,35.48321
112,112,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665458000,33.88354,35.48322
113,113,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665459000,33.88331,35.48323
114,114,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665460000,33.88292,35.48325
115,115,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665461000,33.88276,35.48324
116,116,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665462000,33.88274,35.48324
117,117,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665463000,33.88242,35.48323
118,118,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665464000,33.88242,35.48323
119,119,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665466000,33.88224,35.48326
120,120,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665467000,33.88176,35.48327
121,121,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665468000,33.8814,35.48326
122,122,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665469000,33.88138,35.48326
123,123,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665470000,33.8812,35.48327
124,124,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665471000,33.88061,35.48327
125,125,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665472000,33.87999,35.48325
126,126,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665473000,33.87974,35.48325
127,127,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665474000,33.87964,35.48324
128,128,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665475000,33.87928,35.48323
129,129,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665476000,33.87921,35.48323
130,130,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665477000,33.87878,35.48327
131,131,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665478000,33.87869,35.48326
132,132,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665479000,33.87861,35.48326
133,133,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665480000,33.87842,35.48326
134,134,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665481000,33.87835,35.48327
135,135,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665482000,33.87825,35.48327
136,136,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665483000,33.87767,35.48332
137,137,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665484000,33.87713,35.48335
138,138,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665485000,33.87671,35.48338
139,139,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665486000,33.87646,35.4834
140,140,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665487000,33.87618,35.48341
141,141,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665488000,33.87617,35.48342
142,142,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665489000,33.87582,35.48344
143,143,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665490000,33.87546,35.48346
144,144,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665491000,33.87507,35.48348
145,145,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665492000,33.87495,35.48349
146,146,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665493000,33.87489,35.48349
147,147,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665494000,33.87471,35.4835
148,148,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665495000,33.87453,35.48351
149,149,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665496000,33.87435,35.48352
150,150,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665497000,33.87404,35.48354
151,151,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665498000,33.87399,35.48355
152,152,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665499000,33.87363,35.48358
153,153,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665500000,33.87316,35.48362
154,154,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665501000,33.87316,35.48362
155,155,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665502000,33.87315,35.4836
156,156,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665504000,33.87313,35.48359
157,157,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665505000,33.87312,35.48357
158,158,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665506000,33.8731,35.48356
159,159,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665507000,33.87309,35.48355
160,160,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665509000,33.87308,35.48354
161,161,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665510000,33.87306,35.48354
162,162,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665511000,33.87304,35.48353
163,163,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665512000,33.87302,35.48353
164,164,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665514000,33.873,35.48353
165,165,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665515000,33.87298,35.48354
166,166,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665517000,33.87297,35.48354
167,167,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665518000,33.87296,35.48354
168,168,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665519000,33.87294,35.48355
169,169,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665520000,33.87292,35.48357
170,170,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665521000,33.87291,35.48358
171,171,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665522000,33.87288,35.4836
172,172,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665523000,33.87286,35.48365
173,173,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665524000,33.8728,35.48359
174,174,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665525000,33.87271,35.48354
175,175,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665527000,33.8725,35.48349
176,176,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665528000,33.87197,35.48337
177,177,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665529000,33.87177,35.48333
178,178,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665530000,33.87092,35.4831
179,179,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665531000,33.87091,35.4831
180,180,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665532000,33.87073,35.48306
181,181,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665533000,33.87072,35.48305
182,182,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665534000,33.87056,35.48301
183,183,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665535000,33.87012,35.48291
184,184,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665536000,33.87003,35.48289
185,185,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665537000,33.87001,35.48288
186,186,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665538000,33.86997,35.48287
187,187,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665540000,33.86986,35.48286
188,188,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665541000,33.86971,35.48286
189,189,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665542000,33.86967,35.48286
190,190,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665543000,33.86949,35.48286
191,191,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665544000,33.86943,35.48287
192,192,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665545000,33.86931,35.48287
193,193,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665546000,33.86852,35.48293
194,194,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665547000,33.86823,35.48294
195,195,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665548000,33.8677,35.48297
196,196,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665549000,33.86759,35.48298
197,197,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665550000,33.86709,35.48301
198,198,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665551000,33.86709,35.48301
199,199,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665552000,33.86708,35.48314
200,200,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665554000,33.86707,35.48352
201,201,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665555000,33.86707,35.48352
202,202,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665556000,33.86707,35.48371
203,203,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665557000,33.86705,35.48395
204,204,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665558000,33.86704,35.48419
205,205,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665559000,33.86703,35.48459
206,206,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665560000,33.86703,35.4846
207,207,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665561000,33.86703,35.48462
208,208,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665562000,33.86703,35.48482
209,209,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665563000,33.86703,35.48484
210,210,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665564000,33.86703,35.48527
211,211,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665565000,33.86704,35.48543
212,212,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665566000,33.86704,35.48543
213,213,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665567000,33.86692,35.48555
214,214,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665569000,33.86683,35.48569
215,215,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665570000,33.86671,35.48584
216,216,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665571000,33.86666,35.48592
217,217,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665572000,33.86661,35.48597
218,218,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665573000,33.86653,35.48605
219,219,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665574000,33.86635,35.48604
220,220,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665575000,33.8663,35.48604
